κ,h,K_gain,shock,variable,period,value
0.06,0.0,0.1,ε_ν,π,0,-0.061256863798580655
0.06,0.0,0.1,ε_ν,π,1,-0.07395142595332055
0.06,0.0,0.1,ε_ν,π,2,-0.06773914476903016
0.06,0.0,0.1,ε_ν,π,3,-0.05608580259727031
0.06,0.0,0.1,ε_ν,π,4,-0.04439184179474947
0.06,0.0,0.1,ε_ν,π,5,-0.034405426006170296
0.06,0.0,0.1,ε_ν,π,6,-0.026400094960532857
0.06,0.0,0.1,ε_ν,π,7,-0.020151239791246296
0.06,0.0,0.1,ε_ν,π,8,-0.015327146662812322
0.06,0.0,0.1,ε_ν,π,9,-0.011621467797973132
0.06,0.0,0.1,ε_ν,π,10,-0.008784120700522815
0.06,0.0,0.1,ε_ν,π,11,-0.006618633726040945
0.06,0.0,0.1,ε_ν,π,12,-0.004971904524117658
0.06,0.0,0.1,ε_ν,π,13,-0.0037245302817902146
0.06,0.0,0.1,ε_ν,π,14,-0.002783318307671187
0.06,0.0,0.1,ε_ν,π,15,-0.002075680454443049
0.06,0.0,0.1,ε_ν,ygap,0,-0.05119035586703112
0.06,0.0,0.1,ε_ν,ygap,1,-0.035861751894046785
0.06,0.0,0.1,ε_ν,ygap,2,-0.02444081349426473
0.06,0.0,0.1,ε_ν,ygap,3,-0.016808191531778264
0.06,0.0,0.1,ε_ν,ygap,4,-0.011877175134912798
0.06,0.0,0.1,ε_ν,ygap,5,-0.008651329350396668
0.06,0.0,0.1,ε_ν,ygap,6,-0.006454017752446054
0.06,0.0,0.1,ε_ν,ygap,7,-0.004883447077654925
0.06,0.0,0.1,ε_ν,ygap,8,-0.0037157504049271936
0.06,0.0,0.1,ε_ν,ygap,9,-0.0028267601255465035
0.06,0.0,0.1,ε_ν,ygap,10,-0.0021434759183793384
0.06,0.0,0.1,ε_ν,ygap,11,-0.0016182039891118349
0.06,0.0,0.1,ε_ν,ygap,12,-0.0012162637167310911
0.06,0.0,0.1,ε_ν,ygap,13,-0.0009106337364076579
0.06,0.0,0.1,ε_ν,ygap,14,-0.0006796880690487724
0.06,0.0,0.1,ε_ν,ygap,15,-0.0005061161018181978
0.06,0.0,0.1,ε_att,i,0,-2.9964869654347694
0.06,0.0,0.1,ε_att,i,1,-5.462722279462359
0.06,0.0,0.1,ε_att,i,2,-6.676102397985441
