κ,h,K_gain,L_no_attack,L_attack
0.1,0.9,0.1,2.5034941886398583,3.9999856607485444
0.1,0.9,0.2,2.2209360853636126,5.002369337894572
0.1,0.9,0.3,2.091388411091233,5.605069424829417
0.1,0.9,0.4,2.021338301307128,5.965882048559845
0.1,0.9,0.5,1.979232841564917,6.192624539474212
0.1,0.9,0.6,1.9519745332093223,6.342290074824848
0.1,0.9,0.7,1.9333257133130388,6.445393105126803
0.1,0.9,0.8,1.920008103162621,6.51903581332915
0.1,0.9,0.9,1.9101655107864086,6.573269545781143
0.1,0.9,1.0,1.9026835818009098,6.614262415023424
0.15,0.0,0.0,5.502980107038457,5.502980107038457
0.15,0.0,0.1,3.856511678184612,5.614907086016574
0.15,0.0,0.2,3.329582030924497,6.727333502581485
0.15,0.0,0.3,3.108482669975237,7.5216129390384445
0.15,0.0,0.4,3.003039485526109,8.06073757585064
0.15,0.0,0.5,2.949629048532401,8.438501027863195
0.15,0.0,0.6,2.922267715021778,8.713674696534575
0.15,0.0,0.7,2.9088890660228124,8.921208051226044
0.15,0.0,0.8,2.903366225790864,9.082399639453792
0.15,0.0,0.9,2.9023799738178866,9.210722174148199
0.15,0.0,1.0,2.9040437028693113,9.315018978974217
0.15,0.3,0.0,5.4431062071047975,5.4431062071047975
0.15,0.3,0.1,3.8888232830311096,5.671925926839455
0.15,0.3,0.2,3.3764944279487974,6.83352203453941
0.15,0.3,0.3,3.156754810991827,7.652361076965681
0.15,0.3,0.4,3.049581851614997,8.203441360363872
0.15,0.3,0.5,2.9937790854918944,8.58647237885462
0.15,0.3,0.6,2.9640454924791895,8.863293997750306
0.15,0.3,0.7,2.9485035649722353,9.070499416533309
0.15,0.3,0.8,2.941059825084985,9.230294797187968
0.15,0.3,0.9,2.938378958794989,9.356666352518472
0.15,0.3,1.0,2.938544720287564,9.458752579973496
0.15,0.5,0.0,5.357962596626376,5.357962596626376
0.15,0.5,0.1,3.907210880572658,5.710504073557572
0.15,0.5,0.2,3.415494145192234,6.921862889075347
0.15,0.5,0.3,3.1998534962663365,7.763757445804471
0.15,0.5,0.4,3.092076216576155,8.324616539131629
0.15,0.5,0.5,3.034157163373531,8.710602766862905
0.15,0.5,0.6,3.0018583231664424,8.986847171103427
0.15,0.5,0.7,2.9836975061816307,9.191675420167693
0.15,0.5,0.8,2.9737342013879475,9.348228644353538
0.15,0.5,0.9,2.968689499304458,9.47100558722472
0.15,0.5,1.0,2.9666628463626843,9.569426601818101
0.15,0.7,0.0,5.094323356218399,5.094323356218399
0.15,0.7,0.1,3.8375893215639127,5.65542432603883
0.15,0.7,0.2,3.395906805138346,6.941287180236496
0.15,0.7,0.3,3.1962449530493404,7.812775360560295
0.15,0.7,0.4,3.0929717551697675,8.382724000081954
0.15,0.7,0.5,3.0349866311747316,8.76809430225244
0.15,0.7,0.6,3.000667707084167,9.03919713792127
0.15,0.7,0.7,2.9796628189074656,9.236927672633977
0.15,0.7,0.8,2.9665610984011535,9.38572262655305
0.15,0.7,0.9,2.958343369131573,9.50073250940937
0.15,0.7,1.0,2.9532378374546138,9.591695737518403
0.15,0.9,0.0,4.020531928379692,4.020531928379692
0.15,0.9,0.1,3.240443055080483,4.9786264786053165
0.15,0.9,0.2,2.9532091030902197,6.334381241493487
0.15,0.9,0.3,2.816643103424127,7.19973805259935
0.15,0.9,0.4,2.7415463998094878,7.741372878871521
0.15,0.9,0.5,2.6961219393690983,8.0934130075208
0.15,0.9,0.6,2.6667147098089967,8.332106404351721
0.15,0.9,0.7,2.646677063749319,8.500263248957893
0.15,0.9,0.8,2.632464636930886,8.62272267840981
0.15,0.9,0.9,2.622051953428067,8.714479843535578
0.15,0.9,1.0,2.614216233644655,8.78493775717967
0.2,0.0,0.0,6.1704990697839435,6.1704990697839435
0.2,0.0,0.1,4.58101070829395,6.492744450159885
0.2,0.0,0.2,4.033790024410819,7.840005123019063
0.2,0.0,0.3,3.795735679050504,8.825962611011034
0.2,0.0,0.4,3.6801185153091733,9.50843135004814
0.2,0.0,0.5,3.621246588280475,9.992955835940087
0.2,0.0,0.6,3.5913678042429127,10.348983961052877
0.2,0.0,0.7,3.577272252185776,10.619051721476854
0.2,0.0,0.8,3.5721243752494214,10.829611477436888
0.2,0.0,0.9,3.5721655362928555,10.997643448939211
0.2,0.0,1.0,3.5752340182362263,11.134416178313392
0.2,0.3,0.0,6.113766784303257,6.113766784303257
0.2,0.3,0.1,4.622217216212789,6.5594002232249755
0.2,0.3,0.2,4.094528057214385,7.964200824120933
0.2,0.3,0.3,3.8598201300158648,8.980801524707791
0.2,0.3,0.4,3.743052384919879,9.679257504591662
0.2,0.3,0.5,3.681723242440758,10.17158106591707
0.2,0.3,0.6,3.649113679624022,10.530759867213327
0.2,0.3,0.7,3.6323684653095016,10.80131361954744
0.2,0.3,0.8,3.624766404451454,11.01083534330039
0.2,0.3,0.9,3.622573043266855,11.176976085585936
0.2,0.3,1.0,3.623617012943915,11.311405483520092
0.2,0.5,0.0,6.018768191439096,6.018768191439096
0.2,0.5,0.1,4.635111580757135,6.5926078092949965
0.2,0.5,0.2,4.133582703390721,8.05465860944019
0.2,0.5,0.3,3.9058288065360935,9.099790058354715
0.2,0.5,0.4,3.7898001634968788,9.811575500092598
0.2,0.5,0.5,3.7269047813240865,10.308985201736322
0.2,0.5,0.6,3.691853934053505,10.668751518971396
0.2,0.5,0.7,3.6723797178399304,10.937458447084476
0.2,0.5,0.8,3.6620187747059756,11.143861389882465
0.2,0.5,0.9,3.657152766103184,11.306275942113224
0.2,0.5,1.0,3.655661190865425,11.43675410671438
0.2,0.7,0.0,5.725062070692566,5.725062070692566
0.2,0.7,0.1,4.535929175239351,6.5079653220663
0.2,0.7,0.2,4.092037202947035,8.052722896171732
0.2,0.7,0.3,3.8850100396091976,9.133237452549714
0.2,0.7,0.4,3.776148842251572,9.857408246986845
0.2,0.7,0.5,3.714608157671661,10.355725338358411
0.2,0.7,0.6,3.67822162061063,10.710744260024889
0.2,0.7,0.7,3.6561447319544724,10.972070841743202
0.2,0.7,0.8,3.6426177083574647,11.170049967307277
0.2,0.7,0.9,3.6343881610460853,11.323833014851726
0.2,0.7,1.0,3.6295308738296104,11.445902506703527
0.2,0.9,0.0,4.55438019890338,4.55438019890338
0.2,0.9,0.1,3.821432773477176,5.717188253970601
0.2,0.9,0.2,3.5396958331140977,7.332070320783475
0.2,0.9,0.3,3.4028717623450486,8.401762540035936
0.2,0.9,0.4,3.326869303581552,9.09027147854357
0.2,0.9,0.5,3.280734872165909,9.547242971015617
0.2,0.9,0.6,3.2508916864916038,9.862148920110894
0.2,0.9,0.7,3.2306345303692123,10.086898788226494
0.2,0.9,0.8,3.2163531586035696,10.252338994921711
0.2,0.9,0.9,3.2059709820910185,10.377436133873557
0.2,0.9,1.0,3.1982292933744,10.47425852626884
