h,rho_att,i0_bp,icum8_bp
0.2,0.6,5.707748077431083,10.128312443961399
0.2,0.65,4.688353624715743,4.656672215708997
0.2,0.7,3.413947099504818,-4.158418189798813
0.2,0.75,1.7740431701822144,-18.48533760082265
0.2,0.8,-0.41692735859038527,-42.22044103651251
0.2,0.85,-3.4967564379888856,-82.84029614169305
0.2,0.9,-8.152560103537438,-156.15290331718998
0.2,0.95,-16.03199656671829,-301.0599899907682
0.25,0.0,10.901512609531695,16.397830088791633
0.25,0.05,10.707689311316727,16.75006730180106
0.25,0.1,10.494554991535118,17.087180772504325
0.25,0.15,10.259063313617759,17.397402837057378
0.25,0.2,9.997489973372705,17.663829591040713
0.25,0.25,9.705232587731212,17.861960201963146
0.25,0.3,9.376535138850828,17.955875866287794
0.25,0.35,9.00410152015479,17.89224987690034
0.25,0.4,8.578542300326724,17.59087974590713
0.25,0.45,8.087564106930342,16.929581598174316
0.25,0.5,7.514749996020242,15.719790826997432
0.25,0.55,6.837667590570115,13.666476851192707
0.25,0.6,6.024828384147426,10.300745957259629
0.25,0.65,5.030591520917705,4.8629547226060374
0.25,0.7,3.7861828427977446,-3.908480908476858
0.25,0.75,2.1828669623609445,-18.179747138173248
0.25,0.8,0.037899693998281525,-41.845739512034775
0.25,0.85,-2.9815488520760094,-82.3845659509178
0.25,0.9,-7.552780111402998,-155.61507818384223
0.25,0.95,-15.300247990446463,-300.4772611959707
0.3,0.0,11.075764392221554,16.454485411573135
0.3,0.05,10.888779066419696,16.810303975175465
0.3,0.1,10.683052893074434,17.151479957614313
0.3,0.15,10.455615793660735,17.46635939422011
0.3,0.2,10.202834359025049,17.738191492550758
0.3,0.25,9.920215541185238,17.94268339016302
0.3,0.3,9.602136191291873,18.04419997697336
0.3,0.35,9.241463549014949,17.9898016325189
0.3,0.4,8.82901166104952,17.69981229081246
0.3,0.45,8.352744498270537,17.05275931926161
0.3,0.5,7.796576382045926,15.861029578930484
0.3,0.55,7.138510326803554,13.830847339695138
0.3,0.6,6.347644506568849,10.494939499021497
0.3,0.65,5.379152934994641,5.095686710496543
0.3,0.7,4.165436655424371,-3.626115422603661
0.3,0.75,2.5995380820006386,-17.834203767190655
0.3,0.8,0.5015754461015763,-41.42186764670622
0.3,0.85,-2.4562675583882645,-81.86902975324638
0.3,0.9,-6.941402157942365,-155.0069769161093
0.3,0.95,-14.554939949170961,-299.8194699587555
0.35,0.0,11.252843516577256,16.517615937202546
0.35,0.05,11.072850991927044,16.87748179652914
0.35,0.1,10.87470333219988,17.22326283450154
0.35,0.15,10.655508981114886,17.54343912653798
0.35,0.2,10.41172812477789,17.821439917041403
0.35,0.25,10.138980291761339,18.03321593602836
0.35,0.3,9.831779120846642,18.143462802016373
0.35,0.35,9.483159970895528,18.09968988924275
0.35,0.4,9.084146226853115,17.822828695472037
0.35,0.45,8.622966459806442,17.192223604421873
0.35,0.5,8.083875324768885,16.021349818885515
0.35,0.55,7.445322668796604,14.01786169283047
0.35,0.6,6.677007927227538,10.716327278100229
0.35,0.65,5.734938759762139,5.361420651251898
0.35,0.7,4.552715847776793,-3.303373025171758
0.35,0.75,3.0251915479973834,-17.439032244526242
0.35,0.8,0.9753892537338386,-40.93706301613307
0.35,0.85,-1.919435997706177,-81.27953432985517
0.35,0.9,-6.316723509221818,-154.31208902570094
0.35,0.95,-13.794100958228,-299.0689855835889
0.4,0.0,11.433158385074474,16.589029872845465
0.4,0.05,11.260336838336137,16.953555747951988
0.4,0.1,11.069963871289174,17.304656294964975
0.4,0.15,10.859229091258968,17.630971937225887
0.4,0.2,10.624689432916126,17.916146427121998
0.4,0.25,10.362080790843608,18.13641925947403
0.4,0.3,10.066058177611994,18.25687591128773
0.4,0.35,9.729830663467448,18.225551989332175
0.4,0.4,9.344637845195674,17.964087138880828
0.4,0.45,8.898981414561769,17.3527731903575
0.4,0.5,8.377467016914778,16.206341786633754
0.4,0.55,7.759004785398265,14.234091966140095
0.4,0.6,7.013912564530653,10.972702602610541
0.4,0.65,6.099053727098039,5.669470476506476
0.4,0.7,4.9492572486049085,-2.92905024403475
0.4,0.75,3.4612229317147087,-16.980699531171762
0.4,0.8,1.460928689640701,-40.37497784984247
0.4,0.85,-1.3692338354659175,-80.59649596022925
0.4,0.9,-5.676643754907548,-153.5075945788596
0.4,0.95,-13.015302439172643,-298.2012891625056
0.45,0.0,11.617212779470888,16.67158402562036
0.45,0.05,11.451769367818454,17.041609083239553
0.45,0.1,11.269399335166332,17.399006774315207
0.45,0.15,11.067376569587202,17.732612398952774
0.45,0.2,10.842358479983822,18.026329001003205
0.45,0.25,10.590201809692761,18.256742974092052
0.45,0.3,10.305708377081979,18.38940510943811
0.45,0.35,9.982267595809539,18.372975090991236
0.45,0.4,9.611343436514327,18.129927355947014
0.45,0.45,9.181720841497299,17.54166461369623
