regime,K_gain,A,ρ_att,raw_payoff_bp,p_det,expected_utility_bp
Naive Fed (K=1.00),1.0,0.2,0.1,-2.4367882392886533,0.0034597371721322157,-2.428357592436572
Naive Fed (K=1.00),1.0,0.2,0.15,-2.419948302527961,0.0051851144985782804,-2.4074005934987133
Naive Fed (K=1.00),1.0,0.2,0.2,-2.382203861388038,0.006907504562964073,-2.365748777345589
Naive Fed (K=1.00),1.0,0.2,0.25,-2.315948969846069,0.008626912537337939,-2.295969480642269
Naive Fed (K=1.00),1.0,0.2,0.3,-2.2104989163599624,0.010343343584793052,-2.1876349665742385
Naive Fed (K=1.00),1.0,0.2,0.35,-2.0505936246722936,0.012056802859483962,-2.025870021594705
Naive Fed (K=1.00),1.0,0.2,0.4,-1.8140675633190972,0.013767295506640798,-1.7890927591058714
Naive Fed (K=1.00),1.0,0.2,0.45,-1.4681806525720982,0.015474826662586039,-1.4454608114641825
Naive Fed (K=1.00),1.0,0.2,0.5,-0.963762423688548,0.017179401454748944,-0.9472055621050006
Naive Fed (K=1.00),1.0,0.2,0.55,-0.225705387002635,0.018881025001681317,-0.2214438379476241
Naive Fed (K=1.00),1.0,0.2,0.6,0.8628119790589581,0.020579702413073164,0.8450555652914901
Naive Fed (K=1.00),1.0,0.2,0.65,2.4872625763351293,0.022275438789767232,2.4318577110618973
Naive Fed (K=1.00),1.0,0.2,0.7,4.949470972978132,0.023968239223775334,4.83084086866666
Naive Fed (K=1.00),1.0,0.2,0.75,8.756124078353984,0.02565810879829289,8.531458494100226
Naive Fed (K=1.00),1.0,0.2,0.8,14.793211800595703,0.02734505258771447,14.388690645967214
Naive Fed (K=1.00),1.0,0.2,0.85,24.698003268335665,0.029029075657649006,23.981043062866288
Naive Fed (K=1.00),1.0,0.2,0.9,41.74065110105074,0.030710183064935004,40.45878806448789
Naive Fed (K=1.00),1.0,0.2,0.95,73.24690674824845,0.03238837985765575,70.87455810908789
Naive Fed (K=1.00),1.0,0.3,0.0,-3.6424232365761284,0.0,-3.6424232365761284
Naive Fed (K=1.00),1.0,0.3,0.05,-3.657333923656224,0.0038913618427453,-3.64310191397953
Naive Fed (K=1.00),1.0,0.3,0.1,-3.65518235893298,0.007767580988499501,-3.6267904339322334
Naive Fed (K=1.00),1.0,0.3,0.15,-3.629922453791942,0.011628716362975688,-3.5877111151571985
Naive Fed (K=1.00),1.0,0.3,0.2,-3.573305792082056,0.015474826662586039,-3.5180095043371713
Naive Fed (K=1.00),1.0,0.3,0.25,-3.4739234547691047,0.019305970355333435,-3.406855991534635
Naive Fed (K=1.00),1.0,0.3,0.3,-3.315748374539944,0.02312220568170087,-3.239080958635066
